sentence,label,text
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",2,"Teknologi GeoSolutions akan memanfaatkan solusi GPS Benefon dengan menyediakan Teknologi Pencarian Berbasis Lokasi, Platform Komunitas, konten multimedia yang relevan dengan lokasi dan model komersial yang baru dan kuat."
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",0,"$ESI pada posisi terendah, kemungkinan turun $1.50 ke $2.50 BK"
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",2,"Pada kuartal terakhir tahun 2010, penjualan bersih Componenta meningkat dua kali lipat menjadi EUR131 juta dari EUR76 juta pada periode yang sama tahun sebelumnya, sementara laba sebelum pajak berubah menjadi nol dari kerugian sebelum pajak sebesar EUR7 juta."
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",1,"Menurut Kamar Dagang Finlandia-Rusia, semua perusahaan konstruksi besar Finlandia beroperasi di Rusia."
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",1,"Perusahaan pembelian asal Swedia ini telah menjual sisa 22,4 persen sahamnya, hampir delapan belas bulan setelah menjadikan perusahaan tersebut sebagai perusahaan publik di Finlandia."
$SPY wouldn't be surprised to see a green close,2,$SPY tidak akan terkejut melihat penutupan hijau
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,0,Kesepakatan BG Shell senilai $70 Miliar Memenuhi Skeptisisme Pemegang Saham
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",0,SSH COMMUNICATIONS SECURITY CORP SIARAN BURSA 14 OKTOBER 2008 PUKUL 14:45 Perusahaan memperbarui prospek setahun penuh dan memperkirakan labanya tetap rugi selama setahun penuh.
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,2,Penjualan bersih Kone naik sekitar 14 % tahun ke tahun dalam sembilan bulan pertama tahun 2008 .
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",1,Department store Stockmann akan memiliki total luas lantai lebih dari 8.000 meter persegi dan investasi Stockmann dalam proyek ini akan bernilai sekitar EUR 12 juta.
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2,Pendapatan sirkulasi meningkat sebesar 5% di Finlandia dan 4% di Swedia pada tahun 2008.
